Accession #,Site,Type,Image_1,Image_2,Image_3,Image_4,Image_5,Image_6,Match_Confidence,Notes
209,Valencina,AXE,Montefrío/Raw/209 (1).JPG,Montefrío/Raw/209 (2).JPG,Montefrío/Raw/209 (3).JPG,,,,Medium,
266-1,Montefrío,AXE,Montefrío/Raw/266-1 (1).JPG,Montefrío/Raw/266-1 (2).JPG,Montefrío/Raw/266-1 (3).JPG,,,,High,
3405,Montefrío,AXE,Montefrío/Raw/3405 (1).JPG,Montefrío/Raw/3405 (2).JPG,Montefrío/Raw/3405 (3).JPG,,,,High,
61027,Montefrío,AXE,Montefrío/Raw/61027 (1).JPG,Montefrío/Raw/61027 (2).JPG,Montefrío/Raw/61027 (3).JPG,,,,High,
61187,Montefrío,AXE,Montefrío/Raw/61187 (1).JPG,Montefrío/Raw/61187 (2).JPG,,,,,High,
61272,Montefrío,AXE,Montefrío/Raw/61272 (1).JPG,Montefrío/Raw/61272 (2).JPG,Montefrío/Raw/61272 (3).JPG,,,,High,
61300,Montefrío,AXE,Montefrío/Raw/61300 (1).JPG,Montefrío/Raw/61300 (2).JPG,Montefrío/Raw/61300 (3).JPG,,,,High,
61304,Montefrío,AXE,Montefrío/Raw/61304 (1).JPG,Montefrío/Raw/61304 (2).JPG,Montefrío/Raw/61304 (3).JPG,,,,High,
61506,Montefrío,AXE,Montefrío/Raw/61506 (1).JPG,Montefrío/Raw/61506 (2).JPG,Montefrío/Raw/61506 (3).JPG,,,,High,
6155-1,Montefrío,AXE,Montefrío/Raw/6155-1 (1).JPG,Montefrío/Raw/6155-1 (2).JPG,Montefrío/Raw/6155-1 (3).JPG,,,,High,
6155-11,Montefrío,PPUL,Montefrío/Raw/6155-11 (1).JPG,Montefrío/Raw/6155-11 (2).JPG,Montefrío/Raw/6155-11 (3).JPG,,,,High,
6155-19,Montefrío,AXE,Montefrío/Raw/6155-19 (1).JPG,Montefrío/Raw/6155-19 (2).JPG,Montefrío/Raw/6155-19 (3).JPG,,,,High,
